,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
79,2018-08-04 12:00:00,215917503.36167914,-110984910.83949172,-24349560.261180643,2439.5490632431456,10645.928113041002,-4199.895418726605,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679146,-98453209.3607391,-30796229.50251491,7757.978315090922,9126.129987426475,-4105.504124711139,883490840.8107142
81,2018-08-04 12:30:00,268007141.6914596,-112806955.93073834,-23418121.736596398,-485.51795971528645,11997.53478033587,-3438.3845933087096,919947393.2962273
82,2018-08-04 12:45:00,265891366.47088388,-98273835.14251839,-30892103.899070468,10977.715166726128,8939.967638950273,-3932.7582148683905,918391054.4012797
83,2018-08-04 13:00:00,279202923.1372062,-103432224.0710197,-28240641.241284948,7917.790011775005,10714.836812671014,-3919.972137689579,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156165,-93988692.82755607,-33095645.612003893,10069.19149945309,10249.430044631436,-4426.413742495716,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440932,-123314737.95925254,-18012619.632916015,-8726.80204383472,15315.965500193868,-4063.670716385621,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304166,-100843047.08741343,-29569328.513816096,3742.0075118332675,11525.536398750082,-4526.187729366666,905097636.7844207
87,2018-08-04 14:00:00,253595296.5557822,-106036490.68408404,-26898538.01341913,2346.635915562501,12432.57179687026,-4400.648786096525,907289220.2068127
88,2018-08-04 14:15:00,242717224.4292028,-101058168.1823948,-29457657.630318012,3795.6017131189456,11574.90075397964,-4436.522241692017,895903157.4534492
89,2018-08-04 14:30:00,277090414.57727796,-108055567.18276238,-25862683.181724504,4514.805048852581,10720.380402681103,-4014.5217705849773,930475102.8995867
90,2018-08-04 14:45:00,273356963.2571718,-106359504.08154798,-26734544.263893597,9504.726352032492,9329.793992625344,-4090.242207608499,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485499,-103841013.9619322,-28029478.073337555,7562.085570297876,10487.205992601772,-3972.861637566653,924003704.93461
92,2018-08-04 15:15:00,291472073.5787571,-98914361.91156016,-30565448.726579253,6175.639250700774,12121.31399833536,-3957.906051367327,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876644,-98932191.16467184,-30554637.57923938,5420.588630992376,12178.046581513847,-4184.750686761535,929795407.7069854
94,2018-08-04 15:45:00,244809338.1844458,-106508051.44178948,-26715501.19678236,7089.375558611198,9888.136379208092,-4263.709744176067,897184753.3943951
95,2018-08-04 16:00:00,195421232.47129217,-111596329.5538854,-24093333.959539652,5620.9263271155305,8769.140619200694,-4526.9208157633175,846940437.0720942
96,2018-08-04 16:15:00,170782635.904659,-99559175.10276394,-30281243.678239387,9997.572807137905,8005.2884154032035,-4728.310189673291,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533752,-92337133.16343172,-33991455.90289313,11336.371173351139,7035.602182642838,-4937.504093584036,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173545,-99205840.87593304,-30457134.0302289,10365.308460546634,5874.009594700334,-4820.051289142012,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600524,-103963429.45525454,-28007155.577875745,9056.841071930829,5120.227696052737,-4587.378714066233,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982385,-91915189.49847785,-34197545.57735332,14304.746088643697,3204.3625228990945,-4859.2544805502375,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389772,-99325596.5079399,-30381221.919982962,10878.795290163436,3406.292413773735,-5183.560671843553,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020646,-92165248.02478008,-34059865.042329624,15646.314911601476,2203.6185426781394,-5280.948394673677,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610336,-97145281.33459777,-31498921.59986606,12134.427339199441,2651.7160037633043,-4816.320591006218,597808261.9854394
104,2018-08-04 18:15:00,-30844446.47747308,-92163666.16378604,-34062923.66050445,15347.791198283478,2021.82326265955,-4434.000498380447,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803574,-92126630.55459407,-34083792.22830406,11217.278265772658,4334.822094499136,-4054.2837420816236,633968192.1801709
106,2018-08-04 18:45:00,-41277552.74826545,-92214821.93334548,-34035488.818829305,18080.150130321388,781.1794406735063,-4100.008949657956,605801732.5942851
107,2018-08-04 21:30:00,376642184.16147316,-92013358.38185063,-34184161.26177887,27238.68103141569,4066.990241329431,562.0258541087449,1029067611.3903039
108,2018-08-04 21:45:00,371472460.99643654,-92343171.33000045,-34013982.23430424,34462.72569093068,1716.7123477464977,774.7151390920336,1024637424.2743367
109,2018-08-04 22:00:00,380296491.84579885,-99323754.86775911,-30424903.71208783,27152.89548959685,3605.58421665684,1197.7788756572322,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489926,-98751451.17643954,-30716787.243526533,27610.264353877083,2972.4534344936537,1418.2836497571832,1009516833.719424
111,2018-08-04 22:30:00,328275184.3724004,-97365712.9948079,-31426292.238763858,27093.567809707452,2699.278210004808,1683.4076770781821,979547731.98191
112,2018-08-04 22:45:00,291824422.0471747,-92491369.43799955,-33929179.3012908,28278.572848847336,2287.270700632787,2189.286676205554,943183906.8564352
113,2018-08-04 23:00:00,251061666.7465031,-96541971.53242531,-31841607.929459944,23876.341041004413,2460.8542106031605,2814.31025245216,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728438,-91727585.00477768,-34312156.676406406,17414.525118829493,4805.23246088737,3116.0644363536976,849852859.852041
115,2018-08-04 23:30:00,114579980.30613951,-103079802.59796424,-28464565.32120952,10830.906326722332,4869.50034906795,3269.890983503595,762703026.1079651
116,2018-08-04 23:45:00,33819891.78809592,-92591082.40915725,-33850082.71573078,12306.142500036884,4361.835346836372,2989.9981243658353,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305682,-98754423.10118546,-30651779.31505276,70456.79211084812,8899.500332996482,689.9660906862447,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454239,-94482099.16709377,-32872518.67766242,165744.0711912077,-4083.1103501905045,4338.550443482699,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947102,-101117304.3649729,-29425564.223270107,-466.10750636022107,2430.5178019055884,1292.8491529283692,309068843.95421433
120,2018-08-05 01:15:00,-397715048.4113832,-96901252.06002283,-31586886.343008142,-7301.566473345884,3951.449653816564,654.203820243561,233345969.89428097
121,2018-08-05 01:30:00,-436317807.7110413,-97287869.66098574,-31374349.00915757,-6954.8439728554395,3497.894276937551,389.20296116845464,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974482,-97565698.6813987,-31237750.836393144,-6210.907946623692,3167.0775701070797,200.16534557623575,168205484.66181296
123,2018-08-05 02:00:00,-489486776.54434514,-109802020.46809195,-24942277.629032757,-12614.119063478052,4120.997631242592,289.04759826907787,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469406,-97918978.31996654,-31051878.775156178,-7073.509988621127,2386.99309794169,-35.65756071100579,129671048.62957652
125,2018-08-05 02:30:00,-522139798.2468167,-98308021.6550138,-30849983.856333703,-6590.436500669865,1861.6315147919167,-127.39301450599984,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669574,-103537904.83804338,-28157570.13746242,-7435.571804174911,2024.7568739840008,-192.78152336516985,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557737,-98789289.42389023,-30598627.241891656,-4894.617986188045,857.9155459325669,-359.8004886392042,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048528,-98917385.9463082,-30530034.518101286,-36.72305045935697,2988.837655660928,-631.1256718400416,65886541.42220851
129,2018-08-05 03:45:00,-584913449.4702127,-99063111.3564446,-30454880.599155143,-5003.44906505736,2811.5777815655097,-617.5368312510404,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550801,-104080449.52846329,-27875749.140284527,-7784.203240654013,1613.4962736485234,-322.31961116736454,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019752,-99160165.31311089,-30457122.63066059,-4727.806493614006,861.4992145864401,-358.47308833211207,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288067,-99277922.94232158,-30393207.44352694,-4583.034280014532,-124.67169727629721,-654.1388507628448,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575536,-104197160.8559064,-27865289.107319683,-5109.592891797818,-125.45483149274705,-333.80946512872833,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345146,-99207986.45907086,-30432200.817872934,-4475.963120746535,-44.336020687670064,-344.1893330426845,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616506,-99026536.96572524,-30526404.035560437,-4930.321062629197,244.9978334292883,-292.4645898201831,69008184.02242276
136,2018-08-05 05:45:00,-552479773.782142,-98967760.75274085,-30558304.462546665,-5114.22334548491,785.8125451839409,-180.6865439116519,83970015.76313898
137,2018-08-05 06:00:00,-535793607.4023713,-103846087.75441226,-28051237.862984437,-7095.256808040542,1923.3401321749307,-37.41000149560799,101099044.56227066
138,2018-08-05 06:15:00,-512351923.1036473,-98787261.62900573,-30655459.884502053,-4239.441664541352,1887.6023856170646,-101.14702943679532,124499084.50786744
139,2018-08-05 06:30:00,-529110153.5157806,-98879338.55047795,-30606290.789017957,19944.112704954936,4866.396004844536,-601.6762119107724,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776065,-98806831.8109503,-30642717.8184323,23439.625404136943,5427.245489909982,-741.9129421661721,168997676.65189004
141,2018-08-05 07:00:00,-425943757.5144351,-103542127.7329948,-28219405.981835593,-5651.837191691668,5380.981639362232,-123.9554291335231,209753893.4314438
142,2018-08-05 07:15:00,-389639705.88695586,-98154439.71450213,-30994145.85112954,-5779.58999715941,5904.901569317874,-305.49514334099746,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291112,-97988026.40127237,-31082795.174968693,-6516.085270930006,6267.889959154288,-379.1462011734059,271534636.335483
144,2018-08-05 07:45:00,-334835990.51910365,-97937363.83168311,-31111695.398968652,-7045.012809489067,5642.931880686683,-491.93628936581746,295376242.5023397
145,2018-08-05 08:00:00,-397896601.88696486,-102903781.07379667,-28550706.3080848,48361.67573954767,5528.211517703335,-1527.872435706596,307257311.8720552
146,2018-08-05 08:15:00,-381350802.43116665,-97494909.36837545,-31334207.7664779,54790.59865375992,4031.6460944175965,-1848.2043051809655,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430058,-96936950.85750416,-31638573.910136674,-8737.483181549731,7264.687754772024,-586.3737857090113,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785052,-96958258.04993013,-31632135.719813876,-9922.607223923063,7166.034311356617,-538.2221295150722,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170632,-101517772.51565452,-29293248.490493685,-14240.718089376584,8647.320053468742,-210.00783285673376,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817838,-96278240.47418581,-31994740.900475215,-9735.059811577332,8668.764778685305,-50.29413276144218,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582014,-96280322.53076276,-31999022.225000698,-12738.157724948347,6659.846156032894,158.39801231465546,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291497,-95644891.34172332,-32334810.827123344,-17069.861952692685,10211.594387587042,596.2156638722188,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394063,-101126903.75516471,-29548625.043530222,-41091.19913524955,16307.267072748979,2490.352196507446,965974278.6698852
154,2018-08-05 11:45:00,420936767.2482584,-101366058.1641673,-29429866.671516478,-42203.100766138974,16883.37044787758,2859.890597978981,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851924,-105589635.17676578,-27258912.371052187,-49174.70421604054,16273.006177825257,3001.400975762593,1007699614.6249207
