,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
39,2018-08-04 01:30:00,-365190384.08074766,-95073860.06404877,-32466587.21693451,-2795.1204307479416,277490562.7949104
40,2018-08-04 01:45:00,-405606336.8351993,-95436178.28720692,-32275893.39431559,-3885.8369703033973,235782680.34317845
41,2018-08-04 02:00:00,-430015332.25312877,-100517537.37310784,-29659978.964381076,-7568.823597282039,211283593.98545995
42,2018-08-04 02:15:00,-454272209.5677694,-95803966.16671285,-32081496.491098486,-3564.895829800656,186818854.59262213
43,2018-08-04 02:30:00,-482837948.61276263,-96161903.6734362,-31894332.765592262,-2737.1682135592423,157956183.43744123
44,2018-08-04 02:45:00,-500657948.20298386,-96256622.038713,-31843698.56957437,-2498.9505927884506,140053660.9194083
45,2018-08-04 03:15:00,-534975989.81064135,-96588650.79225801,-31669239.823238593,-3544.657558818727,105233178.32681122
46,2018-08-04 03:45:00,-555370131.9876813,-96760213.09579252,-31578807.716068447,-2278.920517167995,84677598.08606644
47,2018-08-04 04:00:00,-558346615.1659951,-101737850.52624655,-29018547.136693463,-5688.726966043166,81583969.544661
48,2018-08-04 04:15:00,-562398728.6307418,-96767668.8690137,-31574215.87642933,-3635.5751183697985,77349450.81341767
49,2018-08-04 04:30:00,-563959438.568225,-96725061.8033392,-31599140.115278333,-2703.870176931801,75776078.9514466
50,2018-08-04 04:45:00,-565053761.9604895,-96712697.5757918,-31605380.602653515,-1914.1278890085582,74848964.11375539
51,2018-08-04 05:00:00,-567338888.8124162,-101713765.20245527,-29033144.16559732,-3905.3267924995735,72404300.06486662
52,2018-08-04 05:15:00,-561586582.8904692,-96678903.51111823,-31623134.275091063,-1679.0887747813288,78152042.62092836
53,2018-08-04 05:30:00,-555530025.883057,-96608472.45458451,-31660009.167485494,-1454.205673669988,84492065.68160433
54,2018-08-04 05:45:00,-546183129.5286356,-96524810.15531024,-31704043.87995808,-2178.7255445530086,93851098.50680052
55,2018-08-04 06:00:00,-524933725.0701824,-101452131.20623648,-29172272.472647816,-4827.228498519804,115189142.32308435
56,2018-08-04 06:15:00,-506138199.8871197,-96455190.43212162,-31744166.657829497,-2282.9542372285923,134006773.22558579
57,2018-08-04 06:30:00,-479915407.65572673,-96329468.52041179,-31811652.126754723,-3637.8783509956734,160288974.64486757
58,2018-08-04 06:45:00,-455610126.7148774,-95962027.80453165,-32003242.346684836,-484.08535742020285,185062545.34604377
59,2018-08-04 07:00:00,-429814399.7204839,-100500724.03269225,-29671826.532734405,-3477.414417966539,211129548.7061004
60,2018-08-04 07:15:00,-392144684.3069697,-95431590.43948406,-32282884.04291618,-1392.9347154395282,248987030.0941704
61,2018-08-04 07:30:00,-382039852.20830923,-95064327.03600445,-32472851.957763776,1395.3617417506562,259967244.15024072
62,2018-08-04 07:45:00,-354410800.36118114,-94623204.20885931,-32702695.61649619,1237.59887267071,287419776.09520876
63,2018-08-04 08:00:00,-321094405.3809334,-99485237.41750838,-30205801.19382661,1418.9243897040808,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610406,-94415297.61151668,-32817308.010371633,4099.941345540537,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469834,-93727254.16645436,-33175464.497834448,3316.5769541306586,399924604.87397
66,2018-08-04 08:45:00,-210483807.7704651,-93731256.5451015,-33176932.026919533,6339.827852218215,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508105,-98148998.53155759,-30909472.101116415,4115.546318786853,476613488.20006114
68,2018-08-04 09:15:00,-137271478.47769865,-93045733.04742765,-33537381.868523728,10524.652879794416,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693786,-92550170.76727228,-33796708.161215745,9664.704531363193,549872719.7060671
70,2018-08-04 09:45:00,-27895218.53277392,-92023579.02369052,-34074858.31137242,9872.205850757678,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340053,-104010978.05063635,-27914472.1644909,6032.909889826818,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824719,-91090143.2510569,-34563087.225427225,8875.501094093086,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508917,-99992420.45459564,-29989838.974685576,2116.1397620469293,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535756,-97523530.70314488,-31263864.114347864,3121.0180836493146,783651651.3171858
75,2018-08-04 11:00:00,148976245.4022989,-97881058.77149737,-31081500.143209968,2101.793381100023,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568194,-98115040.34913589,-30963230.05779331,5725.612141734903,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546032,-90955455.88355677,-34646887.57721708,13350.547913074874,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043923,-98672048.95166105,-30680526.823162887,6671.723522814904,853244988.9812374
79,2018-08-04 12:00:00,215917503.36167896,-110984910.83949172,-24349560.26118067,2439.5490632432075,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679122,-98453209.36073904,-30796229.502514932,7757.97831509113,883490840.8107142
81,2018-08-04 12:30:00,268007141.69145933,-112806955.93073839,-23418121.736596435,-485.51795971525166,919947393.2962273
82,2018-08-04 12:45:00,265891366.47088376,-98273835.14251839,-30892103.8990705,10977.715166726117,918391054.4012797
