,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
95,2018-08-04 16:00:00,195421232.47129202,-111596329.55388537,-24093333.959539626,846940437.0720942
96,2018-08-04 16:15:00,170782635.90465885,-99559175.10276392,-30281243.678239364,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533736,-92337133.1634317,-33991455.9028931,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173541,-99205840.875933,-30457134.03022888,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600511,-103963429.45525451,-28007155.577875715,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982374,-91915189.4984778,-34197545.577353284,680021933.3177375
101,2018-08-04 17:30:00,-16063345.16038993,-99325596.50793995,-30381221.919982936,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020662,-92165248.02478008,-34059865.042329594,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610336,-97145281.33459777,-31498921.599866014,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477472953,-92163666.16378602,-34062923.66050443,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803658,-92126630.55459407,-34083792.228304036,633968192.1801709
106,2018-08-04 18:45:00,-41277552.748265594,-92214821.93334545,-34035488.81882928,605801732.5942851
107,2018-08-04 21:30:00,376642184.16147304,-92013358.38185059,-34184161.26177884,1029067611.3903039
108,2018-08-04 21:45:00,371472460.996436,-92343171.33000042,-34013982.23430422,1024637424.2743367
109,2018-08-04 22:00:00,380296491.84579885,-99323754.86775908,-30424903.712087814,1032936543.1248063
110,2018-08-04 22:15:00,357618643.64899236,-98751451.17643955,-30716787.243526515,1009516833.719424
111,2018-08-04 22:30:00,328275184.37240016,-97365712.99480791,-31426292.23876384,979547731.98191
112,2018-08-04 22:45:00,291824422.0471745,-92491369.43799952,-33929179.30129079,943183906.8564352
113,2018-08-04 23:00:00,251061666.7465029,-96541971.5324253,-31841607.92945993,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728414,-91727585.00477768,-34312156.67640639,849852859.852041
115,2018-08-04 23:30:00,114579980.3061394,-103079802.59796423,-28464565.3212095,762703026.1079651
116,2018-08-04 23:45:00,33819891.78809558,-92591082.40915726,-33850082.71573076,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305697,-98754423.10118546,-30651779.315052744,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454565,-94482099.16709378,-32872518.677662406,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947106,-101117304.3649729,-29425564.22327009,309068843.95421433
120,2018-08-05 01:15:00,-397715048.41138345,-96901252.06002282,-31586886.343008116,233345969.89428097
121,2018-08-05 01:30:00,-436317807.71104145,-97287869.66098571,-31374349.00915755,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974482,-97565698.6813987,-31237750.83639312,168205484.66181296
123,2018-08-05 02:00:00,-489486776.5443455,-109802020.46809193,-24942277.629032742,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469407,-97918978.31996654,-31051878.77515615,129671048.62957652
125,2018-08-05 02:30:00,-522139798.2468168,-98308021.65501378,-30849983.85633368,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669576,-103537904.83804335,-28157570.137462392,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557737,-98789289.42389022,-30598627.241891637,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048533,-98917385.9463082,-30530034.518101275,65886541.42220851
129,2018-08-05 03:45:00,-584913449.470213,-99063111.3564446,-30454880.599155117,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550801,-104080449.52846327,-27875749.14028451,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019752,-99160165.31311086,-30457122.630660575,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288069,-99277922.94232157,-30393207.443526924,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575538,-104197160.8559064,-27865289.10731966,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345146,-99207986.45907085,-30432200.8178729,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616507,-99026536.96572524,-30526404.03556041,69008184.02242276
136,2018-08-05 05:45:00,-552479773.782142,-98967760.75274085,-30558304.462546654,83970015.76313898
137,2018-08-05 06:00:00,-535793607.4023715,-103846087.75441223,-28051237.86298441,101099044.56227066
138,2018-08-05 06:15:00,-512351923.1036474,-98787261.62900575,-30655459.884502035,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578075,-98879338.55047794,-30606290.78901795,143182512.75670838
140,2018-08-05 06:45:00,-507601019.57760644,-98806831.81095025,-30642717.81843226,168997676.65189004
141,2018-08-05 07:00:00,-425943757.51443493,-103542127.7329948,-28219405.981835566,209753893.4314438
142,2018-08-05 07:15:00,-389639705.88695604,-98154439.7145021,-30994145.85112951,244975177.80030385
143,2018-08-05 07:30:00,-361219152.82911134,-97988026.40127234,-31082795.174968675,271534636.335483
144,2018-08-05 07:45:00,-334835990.5191039,-97937363.83168307,-31111695.398968633,295376242.5023397
145,2018-08-05 08:00:00,-397896601.8869651,-102903781.07379667,-28550706.30808478,307257311.8720552
146,2018-08-05 08:15:00,-381350802.4311668,-97494909.36837542,-31334207.76647787,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430076,-96936950.85750413,-31638573.910136655,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785058,-96958258.04993011,-31632135.719813854,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170635,-101517772.51565452,-29293248.490493666,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817852,-96278240.4741858,-31994740.90047518,559299737.1161737
151,2018-08-05 09:30:00,-9069524.65558184,-96280322.53076279,-31999022.225000672,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291467,-95644891.34172335,-32334810.82712332,681141833.3055812
153,2018-08-05 11:30:00,381657617.739406,-101126903.7551647,-29548625.0435302,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825805,-101366058.1641673,-29429866.67151647,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851924,-105589635.17676577,-27258912.371052172,1007699614.6249207
156,2018-08-05 12:15:00,448203091.827685,-107697008.40056942,-26176874.72974592,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255051,-100414384.3044258,-29923476.773765046,1036282675.5186447
158,2018-08-05 12:45:00,480992465.7477932,-100210263.90035188,-30030756.04994801,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616105,-104731815.38042058,-27707377.616532627,1074110169.731496
160,2018-08-05 13:45:00,511162780.14920336,-92367858.8630372,-34067243.31220192,1165617073.5880814
161,2018-08-05 14:00:00,491899142.2391536,-97144606.39888722,-31608564.821014863,1065717098.7348127
162,2018-08-05 14:15:00,493941024.578355,-92169298.62541923,-34167525.873175934,1063699355.9693087
163,2018-08-05 14:30:00,512461775.81966674,-91962161.66240019,-34276049.91267147,1084266632.1191657
164,2018-08-05 14:45:00,522168712.8684201,-91631102.20633492,-34447358.684769265,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070959,-96670394.6784747,-31853513.623007033,1100763619.4171689
166,2018-08-05 15:45:00,184185904.71310008,-91527735.17547618,-34464015.531128705,967506119.867457
167,2018-08-05 16:00:00,463284875.11816615,-101159901.34132603,-29540459.995880358,1035408622.2760402
168,2018-08-05 16:15:00,430809500.927973,-89056760.43363869,-35761457.28335037,1010542345.9152926
169,2018-08-05 16:30:00,342921624.1032972,-96484633.98798959,-31931909.566671412,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734635,-88842131.62353177,-35857176.753601156,886810775.8271338
171,2018-08-05 17:00:00,211252113.2118021,-92743049.54221612,-33841959.6076145,808218929.1582407
172,2018-08-05 18:15:00,-292247454.37288976,-88680584.53506052,-35876939.60875656,336627916.8060958
173,2018-08-05 18:30:00,-318915198.1135528,-88701772.09028623,-35863168.57223416,309744156.78566235
174,2018-08-05 18:45:00,-327949598.08128226,-88241352.47802308,-36098982.004116185,301016911.20595044
175,2018-08-05 19:00:00,-313347755.68732816,-93064507.20331345,-33620065.02173548,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626507,-87383911.16752946,-36579077.7790207,651915188.0454321
177,2018-08-05 20:45:00,-50671483.20596202,-87141602.23982829,-36697644.040851064,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771706,-92326681.61561377,-34031951.918634646,604035769.4652275
179,2018-08-05 22:15:00,171037590.08851323,-85864638.25469488,-37378276.002122484,819509160.8643341
180,2018-08-05 22:30:00,176662013.05239564,-85870743.58475214,-37375741.56885629,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732712,-85737096.4025885,-37441769.65604714,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187409,-91207210.00583093,-34607142.077912726,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122334,-85853975.40715602,-37353533.43781094,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583464,-90845980.24700938,-34788322.739458956,510940683.7579179
185,2018-08-06 00:15:00,-162180035.5895803,-86599520.05123566,-36964418.390912816,445370744.2304751
186,2018-08-06 00:30:00,-286973150.3526481,-87282806.17508973,-36599550.469880976,329511061.26059234
187,2018-08-06 00:45:00,-348983128.1857206,-87683848.97693619,-36386615.81308229,271826856.0050116
188,2018-08-06 01:00:00,-396450413.06682926,-93235184.48616818,-33526510.649927393,227513075.2757304
189,2018-08-06 01:15:00,-445615526.18917274,-88603813.33160767,-35903068.79386903,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288237,-88630094.91818537,-35885367.296788946,144937278.93743765
191,2018-08-06 01:45:00,-507095120.29235023,-88978384.20320602,-35703800.86982585,123272767.19244829
192,2018-08-06 03:15:00,-576507384.6546139,-89805355.70274338,-35271013.68916996,58752441.4232542
193,2018-08-06 03:30:00,-583963190.2706969,-89974855.52642483,-35183037.512115024,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283427,-90158223.53770769,-35088853.03412583,53681575.77668536
195,2018-08-06 04:00:00,-581908704.574718,-95151239.18881626,-32521106.281118445,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804994,-90311530.24597502,-35064165.64148074,53759365.69499695
197,2018-08-06 04:30:00,-564360816.3859338,-90267433.20110947,-35088752.84115046,69679864.92706501
198,2018-08-06 04:45:00,-535858507.96194124,-90130999.80803916,-35161992.41092278,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105835,-95131363.18357569,-32590148.03785052,95122123.5682927
200,2018-08-06 05:15:00,-533281473.51154774,-90114516.0922222,-35170747.41863877,99271948.53245254
201,2018-08-06 05:30:00,-525799152.6912396,-89773910.13545896,-35346724.48977962,104907503.88309838
202,2018-08-06 05:45:00,-513131541.80190676,-89681971.67640683,-35395373.621177495,116938243.72269176
203,2018-08-06 06:45:00,-500375931.8098368,-88900623.60915597,-35798587.34538142,131538570.87872083
204,2018-08-06 07:15:00,-476487077.199091,-88644892.56678762,-35932683.485073544,152407807.59486127
205,2018-08-06 07:30:00,-471222625.44039893,-88360120.67692462,-36079705.51173692,157350189.63991398
206,2018-08-06 07:45:00,-456506930.8591214,-88258046.9562449,-36133788.3642572,168899625.63211212
207,2018-08-06 08:00:00,-430971746.0925022,-92797393.31308909,-33802008.78967747,194634961.0539269
208,2018-08-06 08:15:00,-403709873.9872957,-87648556.36037105,-36452935.01230624,219671234.34114268
209,2018-08-06 08:30:00,-375474008.65115833,-87537939.50971258,-36512869.42405175,245735488.8393736
210,2018-08-06 08:45:00,-357110216.9661375,-87265796.24649054,-36654808.25697856,263523460.2360537
211,2018-08-06 09:00:00,-316737486.3149534,-91541786.44926396,-34460070.30914473,302005783.2417074
212,2018-08-06 09:15:00,-260265151.2525471,-86154139.58012109,-37236963.25976032,354024080.4887107
213,2018-08-06 09:30:00,-209649492.7029237,-85711064.49956386,-37470288.99063858,399309503.6519384
214,2018-08-06 09:45:00,-146083024.0584171,-85014366.29740141,-37835447.05617468,459744375.0935
215,2018-08-06 10:45:00,94679708.13538472,-85878222.7083973,-37417130.95473896,687266133.6471974
216,2018-08-06 11:00:00,112002579.3016443,-114559698.5545727,-22668454.40354439,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635855,-100933900.35133532,-29679002.584779195,725772640.189312
218,2018-08-06 11:30:00,152292888.41810766,-100642706.20133905,-29823782.293733448,742016332.1513441
219,2018-08-06 11:45:00,182012881.11179394,-95983326.6498103,-32229614.080217615,768552549.8000576
220,2018-08-06 12:00:00,215520763.9592469,-105915713.27300596,-27125118.370240778,796912356.7907588
221,2018-08-06 12:15:00,219286039.47235128,-86377597.07248776,-37173738.56784738,799726603.980563
222,2018-08-06 12:30:00,236132860.2724233,-93619893.24325927,-33450938.058999274,812746051.2429006
223,2018-08-06 12:45:00,221656071.23448017,-108350317.6752518,-25873692.2100345,803578205.8756348
224,2018-08-06 13:00:00,228103846.5521187,-106447777.70343348,-26852841.915806074,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971453,-86895211.14861177,-36906696.7813679,793727595.6666057
226,2018-08-06 13:30:00,204790987.7460567,-93813708.89767954,-33347882.289976206,785657953.6803893
227,2018-08-06 13:45:00,206537619.7309343,-95434236.04968742,-32514651.350299273,789880161.9889416
228,2018-08-06 15:15:00,352767749.9046422,-98133415.47822745,-31142265.590915874,925223079.0889244
229,2018-08-06 15:30:00,388473282.08978707,-129042901.78810547,-15249731.675112583,957955674.8958392
230,2018-08-06 15:45:00,383333176.81436807,-114663205.5465439,-22644483.194235552,955894405.8031082
231,2018-08-06 16:00:00,354008605.33609694,-119882580.60350338,-19957058.225670926,930698134.0267627
232,2018-08-06 16:15:00,323415054.48480743,-98271969.25446044,-31067842.219167836,899255129.4645295
233,2018-08-06 16:30:00,327819252.6972007,-105535233.06301838,-27332886.255001202,981785721.5068717
234,2018-08-06 16:45:00,305168034.3888435,-105345187.87676805,-27428181.11858019,958540613.3263812
235,2018-08-06 17:00:00,291399462.6321999,-110752167.94554272,-24645952.99010175,945510051.8248855
236,2018-08-06 17:15:00,252924921.72407934,-91082881.28424896,-34757488.48924003,904978553.207942
237,2018-08-06 17:30:00,243128440.2086526,-90594174.90759724,-35007771.616851844,894956743.8237901
238,2018-08-06 17:45:00,245322692.3918736,-90669194.8136883,-34969427.70809554,897679400.0829989
239,2018-08-06 19:30:00,199601887.28107736,-90461186.08831753,-35071474.428117655,849839853.4155847
240,2018-08-06 19:45:00,345174191.84556746,-89821698.03119655,-35416050.8623475,998545936.9001539
241,2018-08-06 21:30:00,15006948.566468943,-90552668.62908775,-34994948.65308872,784516008.9369987
242,2018-08-06 21:45:00,285922902.37930167,-89682611.71481599,-35481214.8696762,865455556.8934131
243,2018-08-06 22:00:00,272577510.20254993,-95058355.12433426,-32715094.432109654,853638231.0583675
244,2018-08-06 22:15:00,294236104.3962849,-89606555.59536001,-35521227.47108684,873020553.5108086
245,2018-08-06 22:30:00,299260046.0545786,-89689613.76230983,-35479056.554979034,874030948.3968867
246,2018-08-06 22:45:00,290286806.5865756,-96694432.5730543,-31875591.935976997,864877847.9160331
247,2018-08-06 23:00:00,238879924.82860258,-94754981.49501404,-32867486.089782212,813515962.1303687
248,2018-08-06 23:15:00,-73347484.56568696,-90892375.9133641,-34813909.57483516,653019326.5996282
249,2018-08-06 23:30:00,-118638437.13231777,-90972623.46103217,-34774121.941383876,588958439.6274937
250,2018-08-06 23:45:00,-14974115.182521898,-90819886.2137632,-34863882.705865815,580166973.100114
251,2018-08-07 00:30:00,-265496938.24874,-92581187.70451587,-33931025.7136446,420451463.6272903
252,2018-08-07 00:45:00,-180145402.97087103,-93022430.3073345,-33713326.12739501,424661527.5980916
253,2018-08-07 01:00:00,-249896070.1430626,-98679608.29683672,-30796384.294223323,358440535.0092935
254,2018-08-07 01:15:00,-300474235.6873835,-94021576.75265414,-33186498.848407537,313387036.80249816
255,2018-08-07 01:30:00,-346377332.9241458,-94744681.56178991,-32809664.046642534,269407243.7269347
256,2018-08-07 01:45:00,-385409446.7086232,-95043184.65345281,-32651937.454176653,235252985.47738785
257,2018-08-07 02:00:00,-420300305.53671765,-100216065.81733462,-29987822.837451402,201848539.50952828
258,2018-08-07 02:15:00,-438404843.328935,-100085116.67939125,-30053216.523494665,184295680.60557565
259,2018-08-07 02:30:00,-458771592.2238921,-95246146.69677676,-32539644.64572657,166538091.21967116
260,2018-08-07 02:45:00,-480904458.3122801,-95336523.13334927,-32490776.79104028,147168771.07716367
261,2018-08-07 03:00:00,-493789044.6363398,-105309074.0000111,-27360622.570549328,136505775.29323602
262,2018-08-07 03:15:00,-514233165.7291772,-95479954.937846,-32413417.19003247,119916143.71178348
263,2018-08-07 03:30:00,-533279996.7558577,-96025453.49094611,-32130819.127378643,101393408.35006955
264,2018-08-07 03:45:00,-562770372.5859069,-96229747.59881103,-32022572.172304813,81992739.42335217
265,2018-08-07 04:45:00,-572432236.6583426,-96546176.59519151,-31909683.55389915,64509428.62500864
266,2018-08-07 05:00:00,-572687757.5284604,-101517032.67708357,-29353203.85534412,64440450.12383721
267,2018-08-07 05:15:00,-566909828.6467777,-96280883.53751415,-32046716.7020064,70356553.28684391
268,2018-08-07 06:15:00,-512626799.9793828,-95989645.77656901,-32202351.996338144,120960301.44215544
269,2018-08-07 06:30:00,-493182715.5796218,-95921063.34215006,-32239719.759553462,138016070.76306918
270,2018-08-07 07:15:00,-416368920.5936055,-95261776.30765349,-32587067.82321261,208470502.68834317
271,2018-08-07 07:30:00,-387632774.3604908,-94807832.70326604,-32823625.135876685,236625280.85591397
272,2018-08-07 08:45:00,-212374445.58847734,-93530929.82032715,-33499222.87650003,399118883.1906412
273,2018-08-07 09:00:00,-184456056.53726822,-98703219.54772277,-30842187.50220228,424827753.5514567
274,2018-08-07 09:15:00,-142461984.9156878,-93080005.34567711,-33738667.99555866,463636751.20545214
275,2018-08-07 09:30:00,-100815294.05274671,-92724680.35765019,-33925898.97148977,502285348.0635015
276,2018-08-07 09:45:00,-58412930.916179165,-92161217.9727154,-34220254.01268672,540595004.3534383
277,2018-08-07 10:30:00,55866078.09338069,-90513111.73033962,-35080181.6564702,645913011.4946284
278,2018-08-07 10:45:00,89832194.14033203,-90287603.15586042,-35199819.124047175,681256878.3516228
279,2018-08-07 11:00:00,119438026.3489706,-97523259.22884153,-31481799.306024183,705201594.8762299
