,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
71,2018-08-04 10:00:00,14688755.849340167,-104010978.05063641,-27914472.16449085,6032.90988982686,5552.722753471358,-3928.99690497386,662250533.1430192
72,2018-08-04 10:15:00,47902274.64824709,-91090143.25105695,-34563087.225427166,8875.50109409285,5835.211894790442,-4691.2036413083415,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508919,-99992420.45459567,-29989838.974685527,2116.13976204686,8664.509297299403,-4486.001988249514,743182034.0856544
74,2018-08-04 10:45:00,134990067.8553575,-97523530.70314491,-31263864.11434781,3121.01808364919,9060.724004967396,-4583.118337098224,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229908,-97881058.7714974,-31081500.143209912,2101.7933811001103,9776.033851584698,-4766.814689928873,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568218,-98115040.34913592,-30963230.05779324,5725.612141734987,9158.9522340531,-4660.649514185151,818234740.4919213
77,2018-08-04 11:30:00,182683117.3154603,-90955455.88355678,-34646887.577217005,13350.547913074806,7575.525852612143,-4673.949760559133,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043944,-98672048.9516611,-30680526.82316285,6671.723522814879,9002.664238246238,-4371.451469146446,853244988.9812374
79,2018-08-04 12:00:00,215917503.3616791,-110984910.83949172,-24349560.26118062,2439.549063243316,10645.928113040423,-4199.895418747316,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679116,-98453209.3607391,-30796229.502514876,7757.978315090979,9126.129987425884,-4105.5041247318695,883490840.8107142
81,2018-08-04 12:30:00,268007141.69145957,-112806955.93073839,-23418121.736596372,-485.5179597152344,11997.534780335302,-3438.3845933309126,919947393.2962273
82,2018-08-04 12:45:00,265891366.47088403,-98273835.1425184,-30892103.89907044,10977.715166726253,8939.96763894954,-3932.7582148967444,918391054.4012797
83,2018-08-04 13:00:00,279202923.137206,-103432224.07101968,-28240641.24128492,7917.7900117749,10714.836812670474,-3919.9721377114424,933144321.4424556
84,2018-08-04 13:15:00,263504553.1215619,-93988692.82755609,-33095645.612003863,10069.191499453176,10249.430044630864,-4426.413742519627,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440953,-123314737.95925257,-18012619.632915992,-8726.802043834634,15315.965500193362,-4063.6707164071827,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304187,-100843047.08741343,-29569328.51381605,3742.0075118333234,11525.536398749091,-4526.187729407411,905097636.7844207
87,2018-08-04 14:00:00,253595296.55578256,-106036490.68408404,-26898538.01341911,2346.635915562633,12432.571796869497,-4400.648786127862,907289220.2068127
88,2018-08-04 14:15:00,242717224.4292027,-101058168.18239483,-29457657.630317993,3795.601713119043,11574.90075397969,-4436.522241683212,895903157.4534492
89,2018-08-04 14:30:00,277090414.5772781,-108055567.18276241,-25862683.18172448,4514.8050488524905,10720.380402680312,-4014.521770616193,930475102.8995867
90,2018-08-04 14:45:00,273356963.2571719,-106359504.08154796,-26734544.26389357,9504.726352032476,9329.793992625031,-4090.242207620222,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485498,-103841013.96193218,-28029478.073337525,7562.085570297983,10487.20599260144,-3972.8616375746446,924003704.93461
92,2018-08-04 15:15:00,291472073.57875735,-98914361.91156016,-30565448.726579223,6175.639250700888,12121.313998334826,-3957.906051387798,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876614,-98932191.16467184,-30554637.579239346,5420.588630992293,12178.046581513385,-4184.750686776698,929795407.7069854
94,2018-08-04 15:45:00,244809338.18444577,-106508051.4417895,-26715501.196782332,7089.3755586112,9888.136379207,-4263.709744222547,897184753.3943951
95,2018-08-04 16:00:00,195421232.471292,-111596329.55388546,-24093333.959539637,5620.926327115556,8769.140619200318,-4526.920815774226,846940437.0720942
96,2018-08-04 16:15:00,170782635.90465906,-99559175.10276397,-30281243.678239364,9997.572807137934,8005.288415402432,-4728.310189704499,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533746,-92337133.16343173,-33991455.902893096,11336.371173351225,7035.602182642504,-4937.50409359496,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173526,-99205840.87593305,-30457134.03022886,10365.308460546625,5874.009594699458,-4820.051289175794,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600514,-103963429.45525454,-28007155.57787572,9056.841071930901,5120.227696052102,-4587.378714090063,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982243,-91915189.49847783,-34197545.57735327,14304.746088643755,3204.362522897973,-4859.254480595627,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389885,-99325596.50793993,-30381221.919982936,10878.795290163518,3406.2924137734826,-5183.560671850942,631001452.3304819
102,2018-08-04 17:45:00,-51663799.6902065,-92165248.02478006,-34059865.04232958,15646.314911601585,2203.6185426773045,-5280.94839470693,596381806.2180856
103,2018-08-04 18:00:00,-49546203.20261064,-97145281.33459781,-31498921.59986603,12134.42733919953,2651.716003763103,-4816.320591011199,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477473397,-92163666.16378607,-34062923.66050443,15347.791198283572,2021.8232626587028,-4434.000498414144,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803596,-92126630.55459408,-34083792.22830403,11217.278265772777,4334.822094498185,-4054.283742121416,633968192.1801709
106,2018-08-04 18:45:00,-41277552.74826534,-92214821.9333455,-34035488.818829276,18080.15013032156,781.1794406721866,-4100.0089497149775,605801732.5942851
107,2018-08-04 21:30:00,376642184.16147316,-92013358.3818506,-34184161.26177883,27238.68103141579,4066.9902413293285,562.0258541076034,1029067611.3903039
108,2018-08-04 21:45:00,371472460.9964369,-92343171.33000045,-34013982.234304205,34462.72569093087,1716.7123477462246,774.71513907898,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457987,-99323754.86775912,-30424903.712087814,27152.895489596925,3605.584216657128,1197.778875670919,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489931,-98751451.17643954,-30716787.24352651,27610.26435387714,2972.453434493711,1418.283649757008,1009516833.719424
111,2018-08-04 22:30:00,328275184.37240076,-97365712.99480788,-31426292.238763828,27093.567809707638,2699.278210004489,1683.4076770630677,979547731.98191
112,2018-08-04 22:45:00,291824422.04717493,-92491369.43799952,-33929179.30129077,28278.57284884729,2287.270700632753,2189.286676201821,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650338,-96541971.53242533,-31841607.929459926,23876.341041004485,2460.85421060296,2814.310252440729,900829188.0464427
114,2018-08-04 23:15:00,200645477.7172846,-91727585.00477767,-34312156.676406376,17414.52511882959,4805.232460887368,3116.0644363496785,849852859.852041
115,2018-08-04 23:30:00,114579980.30613942,-103079802.59796427,-28464565.3212095,10830.906326722334,4869.500349068005,3269.8909835047857,762703026.1079651
116,2018-08-04 23:45:00,33819891.788096055,-92591082.40915728,-33850082.71573075,12306.142500037004,4361.835346836799,2989.9981243814073,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305688,-98754423.10118549,-30651779.315052744,70456.79211084834,8899.50033299638,689.9660906807604,494407916.64120996
118,2018-08-05 00:30:00,-12397951.3154542,-94482099.16709381,-32872518.677662414,165744.0711912082,-4083.1103501900448,4338.550443498955,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947106,-101117304.36497295,-29425564.223270092,-466.10750636004576,2430.5178019057175,1292.8491529360688,309068843.95421433
120,2018-08-05 01:15:00,-397715048.4113833,-96901252.06002285,-31586886.343008116,-7301.56647334597,3951.4496538164876,654.2038202363157,233345969.89428097
121,2018-08-05 01:30:00,-436317807.71104157,-97287869.66098577,-31374349.009157542,-6954.843972855399,3497.89427693729,389.2029611552869,196856105.70521477
122,2018-08-05 01:45:00,-466506995.09744877,-97565698.6813987,-31237750.836393125,-6210.907946623781,3167.07757010719,200.16534558271965,168205484.66181296
123,2018-08-05 02:00:00,-489486776.5443455,-109802020.46809195,-24942277.62903273,-12614.119063477963,4120.99763124202,289.047598246791,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469409,-97918978.31996657,-31051878.77515616,-7073.5099886211565,2386.993097941626,-35.65756071438885,129671048.62957652
125,2018-08-05 02:30:00,-522139798.246817,-98308021.65501384,-30849983.856333677,-6590.43650066988,1861.6315147918274,-127.39301450955976,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669579,-103537904.83804339,-28157570.137462396,-7435.57180417502,2024.7568739837218,-192.78152337350926,89228539.94999142
127,2018-08-05 03:15:00,-557802553.855774,-98789289.42389026,-30598627.241891626,-4894.6179861880155,857.9155459325752,-359.8004886452967,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048535,-98917385.94630826,-30530034.518101264,-36.723050459359875,2988.837655660767,-631.1256718446788,65886541.42220851
129,2018-08-05 03:45:00,-584913449.470213,-99063111.35644463,-30454880.59915512,-5003.449065057221,2811.577781565672,-617.5368312433922,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550808,-104080449.52846332,-27875749.140284497,-7784.203240653659,1613.4962736484347,-322.3196111664664,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019758,-99160165.31311089,-30457122.630660564,-4727.806493614051,861.4992145861977,-358.4730883433022,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288073,-99277922.9423216,-30393207.443526912,-4583.03428001456,-124.67169727648358,-654.1388507692841,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575543,-104197160.85590644,-27865289.10731966,-5109.592891797733,-125.45483149259857,-333.80946511906285,51917659.87526981
134,2018-08-05 05:15:00,-576202788.434515,-99207986.45907089,-30432200.817872908,-4475.963120746611,-44.33602068785522,-344.189333049392,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616508,-99026536.9657253,-30526404.035560414,-4930.321062629205,244.9978334290596,-292.46458983204644,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821425,-98967760.75274087,-30558304.46254664,-5114.223345484895,785.8125451836207,-180.68654392278032,83970015.76313898
137,2018-08-05 06:00:00,-535793607.4023717,-103846087.7544123,-28051237.862984415,-7095.256808040478,1923.3401321749773,-37.41000149237893,101099044.56227066
138,2018-08-05 06:15:00,-512351923.1036478,-98787261.62900579,-30655459.88450204,-4239.441664541341,1887.6023856174672,-101.14702941657897,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578104,-98879338.55047798,-30606290.789017938,19944.112704954943,4866.396004844393,-601.6762119187525,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776069,-98806831.81095031,-30642717.818432268,23439.625404137092,5427.245489910041,-741.9129421668977,168997676.65189004
141,2018-08-05 07:00:00,-425943757.5144358,-103542127.73299485,-28219405.981835578,-5651.837191691777,5380.98163936241,-123.95542912539753,209753893.4314438
