,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
81,2018-08-04 12:30:00,268007141.69145945,-112806955.93073818,-23418121.736596413,-485.5179597152175,11997.53478033469,919947393.2962273
82,2018-08-04 12:45:00,265891366.4708839,-98273835.14251824,-30892103.899070483,10977.715166726206,8939.96763894989,918391054.4012797
83,2018-08-04 13:00:00,279202923.13720614,-103432224.07101952,-28240641.241284955,7917.790011775029,10714.836812668585,933144321.4424556
84,2018-08-04 13:15:00,263504553.1215618,-93988692.82755592,-33095645.612003908,10069.191499453163,10249.430044631483,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440935,-123314737.95925231,-18012619.632916022,-8726.802043834692,15315.965500194316,907844054.0625316
86,2018-08-04 13:45:00,252330419.7130419,-100843047.08741325,-29569328.513816103,3742.007511833181,11525.536398749571,905097636.7844207
87,2018-08-04 14:00:00,253595296.5557825,-106036490.68408388,-26898538.013419155,2346.6359155624095,12432.571796871165,907289220.2068127
88,2018-08-04 14:15:00,242717224.42920282,-101058168.18239462,-29457657.630318023,3795.6017131189774,11574.90075397911,895903157.4534492
89,2018-08-04 14:30:00,277090414.5772782,-108055567.18276222,-25862683.181724522,4514.805048852423,10720.380402680015,930475102.8995867
90,2018-08-04 14:45:00,273356963.2571719,-106359504.08154777,-26734544.263893597,9504.726352032421,9329.793992625002,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485498,-103841013.96193202,-28029478.073337562,7562.085570297969,10487.205992600442,924003704.93461
92,2018-08-04 15:15:00,291472073.5787572,-98914361.91156,-30565448.72657927,6175.6392507008095,12121.313998335483,945275771.6984012
93,2018-08-04 15:30:00,276244352.1087664,-98932191.16467163,-30554637.579239372,5420.58863099236,12178.046581511406,929795407.7069854
94,2018-08-04 15:45:00,244809338.18444574,-106508051.44178927,-26715501.196782358,7089.375558611198,9888.136379206151,897184753.3943951
95,2018-08-04 16:00:00,195421232.47129202,-111596329.55388525,-24093333.95953967,5620.926327115635,8769.140619199386,846940437.0720942
96,2018-08-04 16:15:00,170782635.9046591,-99559175.10276376,-30281243.678239398,9997.572807137829,8005.28841540216,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533751,-92337133.16343156,-33991455.90289315,11336.371173351163,7035.602182642006,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173532,-99205840.87593283,-30457134.030228894,10365.308460546732,5874.009594698001,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600517,-103963429.45525433,-28007155.57787574,9056.841071930932,5120.227696051727,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982273,-91915189.49847762,-34197545.57735331,14304.746088643804,3204.3625228971373,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389872,-99325596.50793974,-30381221.919982977,10878.795290163525,3406.2924137730383,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020648,-92165248.02477992,-34059865.04232964,15646.314911601517,2203.6185426773045,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610604,-97145281.33459759,-31498921.59986606,12134.427339199618,2651.7160037619874,597808261.9854394
104,2018-08-04 18:15:00,-30844446.47747341,-92163666.16378586,-34062923.66050446,15347.791198283678,2021.8232626574766,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803663,-92126630.5545939,-34083792.22830408,11217.27826577277,4334.822094498424,633968192.1801709
106,2018-08-04 18:45:00,-41277552.74826545,-92214821.9333453,-34035488.81882932,18080.150130321475,781.179440673321,605801732.5942851
107,2018-08-04 21:30:00,376642184.1614733,-92013358.38185048,-34184161.261778876,27238.68103141564,4066.9902413293285,1029067611.3903039
108,2018-08-04 21:45:00,371472460.9964371,-92343171.33000033,-34013982.23430426,34462.725690930645,1716.7123477480181,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457986,-99323754.86775893,-30424903.712087836,27152.895489596976,3605.584216655851,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489931,-98751451.17643942,-30716787.24352657,27610.264353877057,2972.453434495505,1009516833.719424
111,2018-08-04 22:30:00,328275184.3724006,-97365712.99480775,-31426292.238763876,27093.567809707514,2699.278210006284,979547731.98191
112,2018-08-04 22:45:00,291824422.04717493,-92491369.4379994,-33929179.30129083,28278.572848847252,2287.27070063353,943183906.8564352
113,2018-08-04 23:00:00,251061666.7465034,-96541971.53242517,-31841607.929459974,23876.341041004416,2460.8542106043587,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728468,-91727585.00477757,-34312156.676406436,17414.525118829537,4805.232460888913,849852859.852041
115,2018-08-04 23:30:00,114579980.30613951,-103079802.59796408,-28464565.321209535,10830.906326722368,4869.5003490684185,762703026.1079651
116,2018-08-04 23:45:00,33819891.788096115,-92591082.40915713,-33850082.7157308,12306.142500036909,4361.8353468384685,681157371.8246807
117,2018-08-05 00:00:00,-230944345.5030568,-98754423.10118532,-30651779.315052792,70456.79211084821,8899.500332997372,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454088,-94482099.16709366,-32872518.677662466,165744.07119120806,-4083.1103501885214,803673419.4493607
119,2018-08-05 01:00:00,-333292202.09471035,-101117304.36497273,-29425564.22327013,-466.1075063601406,2430.517801906686,309068843.95421433
120,2018-08-05 01:15:00,-397715048.4113832,-96901252.06002265,-31586886.343008164,-7301.566473345968,3951.4496538175367,233345969.89428097
121,2018-08-05 01:30:00,-436317807.7110414,-97287869.66098557,-31374349.009157587,-6954.843972855479,3497.894276937661,196856105.70521477
122,2018-08-05 01:45:00,-466506995.09744865,-97565698.68139851,-31237750.836393163,-6210.907946623593,3167.0775701057596,168205484.66181296
123,2018-08-05 02:00:00,-489486776.5443453,-109802020.46809174,-24942277.629032772,-12614.119063477976,4120.997631243233,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469406,-97918978.31996636,-31051878.775156204,-7073.50998862127,2386.9930979419696,129671048.62957652
125,2018-08-05 02:30:00,-522139798.24681675,-98308021.65501359,-30849983.85633371,-6590.436500669971,1861.6315147920918,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669575,-103537904.83804318,-28157570.137462433,-7435.571804175056,2024.7568739839369,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557737,-98789289.42389004,-30598627.241891682,-4894.617986188212,857.9155459325474,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048534,-98917385.946308,-30530034.51810131,-36.723050459210015,2988.8376556602566,65886541.42220851
129,2018-08-05 03:45:00,-584913449.4702127,-99063111.3564444,-30454880.599155165,-5003.449065057344,2811.5777815662195,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550806,-104080449.52846305,-27875749.140284542,-7784.203240653712,1613.496273648198,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019755,-99160165.31311066,-30457122.630660605,-4727.806493614045,861.4992145858537,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288071,-99277922.94232138,-30393207.443526953,-4583.034280014618,-124.67169727678268,33417206.09697164
133,2018-08-05 05:00:00,-585826575.357554,-104197160.8559062,-27865289.107319694,-5109.5928917977235,-125.45483149296777,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345146,-99207986.45907067,-30432200.817872956,-4475.963120746728,-44.33602068736819,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616506,-99026536.96572503,-30526404.035560455,-4930.321062629282,244.99783342998916,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821423,-98967760.75274067,-30558304.462546684,-5114.2233454848665,785.8125451834735,83970015.76313898
137,2018-08-05 06:00:00,-535793607.40237135,-103846087.75441208,-28051237.862984467,-7095.256808040626,1923.3401321755948,101099044.56227066
138,2018-08-05 06:15:00,-512351923.10364753,-98787261.62900555,-30655459.88450208,-4239.441664541399,1887.6023856172305,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578087,-98879338.55047774,-30606290.78901797,19944.112704954885,4866.396004844193,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776067,-98806831.8109501,-30642717.818432312,23439.625404137,5427.245489909974,168997676.65189004
141,2018-08-05 07:00:00,-425943757.5144355,-103542127.73299457,-28219405.98183559,-5651.837191691544,5380.981639360519,209753893.4314438
142,2018-08-05 07:15:00,-389639705.88695604,-98154439.71450192,-30994145.85112955,-5779.589997159259,5904.901569318298,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291114,-97988026.40127215,-31082795.1749687,-6516.085270930005,6267.889959154609,271534636.335483
144,2018-08-05 07:45:00,-334835990.5191037,-97937363.83168289,-31111695.398968667,-7045.01280948903,5642.931880686322,295376242.5023397
145,2018-08-05 08:00:00,-397896601.8869651,-102903781.0737965,-28550706.308084827,48361.675739547754,5528.211517703562,307257311.8720552
146,2018-08-05 08:15:00,-381350802.431167,-97494909.36837521,-31334207.7664779,54790.5986537601,4031.646094417034,327937205.3054108
147,2018-08-05 08:30:00,-220053890.1743006,-96936950.85750398,-31638573.910136703,-8737.483181549744,7264.6877547726735,406498266.7090832
148,2018-08-05 08:45:00,-178141579.8278507,-96958258.04992995,-31632135.719813887,-9922.607223923078,7166.03431135602,444055786.1683582
