,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
89,2018-08-04 14:30:00,277090414.5772782,-108055567.18276213,-25862683.1817245,930475102.8995867
90,2018-08-04 14:45:00,273356963.25717217,-106359504.08154768,-26734544.26389358,926927818.3168449
91,2018-08-04 15:00:00,270602464.34855014,-103841013.96193193,-28029478.073337544,924003704.93461
92,2018-08-04 15:15:00,291472073.57875717,-98914361.91155994,-30565448.726579234,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876673,-98932191.1646716,-30554637.57923936,929795407.7069854
94,2018-08-04 15:45:00,244809338.184446,-106508051.44178921,-26715501.196782354,897184753.3943951
95,2018-08-04 16:00:00,195421232.47129238,-111596329.55388515,-24093333.95953964,846940437.0720942
96,2018-08-04 16:15:00,170782635.9046591,-99559175.1027637,-30281243.678239375,822365010.9370401
97,2018-08-04 16:30:00,133695637.5353377,-92337133.16343148,-33991455.90289311,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173566,-99205840.87593278,-30457134.030228887,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600541,-103963429.45525424,-28007155.577875722,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982474,-91915189.49847758,-34197545.5773533,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389636,-99325596.5079397,-30381221.91998295,631001452.3304819
102,2018-08-04 17:45:00,-51663799.690206565,-92165248.02477984,-34059865.0423296,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610046,-97145281.33459753,-31498921.59986604,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477472816,-92163666.16378583,-34062923.66050445,616813010.2327317
105,2018-08-04 18:30:00,-13966227.18680355,-92126630.55459385,-34083792.22830405,633968192.1801709
106,2018-08-04 18:45:00,-41277552.748265624,-92214821.93334526,-34035488.81882929,605801732.5942851
107,2018-08-04 21:30:00,376642184.16147345,-92013358.38185042,-34184161.261778854,1029067611.3903039
108,2018-08-04 21:45:00,371472460.9964364,-92343171.33000025,-34013982.23430423,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457993,-99323754.86775889,-30424903.71208782,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489927,-98751451.17643936,-30716787.243526526,1009516833.719424
111,2018-08-04 22:30:00,328275184.3724004,-97365712.99480772,-31426292.238763858,979547731.98191
112,2018-08-04 22:45:00,291824422.0471747,-92491369.43799934,-33929179.301290795,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650303,-96541971.53242514,-31841607.929459948,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728435,-91727585.00477752,-34312156.6764064,849852859.852041
115,2018-08-04 23:30:00,114579980.30613951,-103079802.59796402,-28464565.321209516,762703026.1079651
116,2018-08-04 23:45:00,33819891.78809577,-92591082.40915708,-33850082.71573076,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305697,-98754423.10118525,-30651779.315052763,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454455,-94482099.16709358,-32872518.677662414,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947105,-101117304.36497264,-29425564.22327009,309068843.95421433
120,2018-08-05 01:15:00,-397715048.41138357,-96901252.06002259,-31586886.34300813,233345969.89428097
121,2018-08-05 01:30:00,-436317807.71104157,-97287869.66098547,-31374349.009157557,196856105.70521477
122,2018-08-05 01:45:00,-466506995.09744817,-97565698.68139839,-31237750.836393133,168205484.66181296
123,2018-08-05 02:00:00,-489486776.5443457,-109802020.4680917,-24942277.629032753,145035070.734005
124,2018-08-05 02:15:00,-505314761.64694095,-97918978.31996626,-31051878.775156163,129671048.62957652
125,2018-08-05 02:30:00,-522139798.24681693,-98308021.65501353,-30849983.856333688,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669578,-103537904.83804305,-28157570.137462396,89228539.94999142
127,2018-08-05 03:15:00,-557802553.855774,-98789289.42388995,-30598627.24189164,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048533,-98917385.94630791,-30530034.51810128,65886541.42220851
129,2018-08-05 03:45:00,-584913449.470213,-99063111.35644431,-30454880.599155128,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550806,-104080449.52846302,-27875749.14028452,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019753,-99160165.31311059,-30457122.630660582,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288071,-99277922.94232129,-30393207.44352692,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575541,-104197160.85590614,-27865289.107319675,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345149,-99207986.4590706,-30432200.81787292,61084755.07865237
135,2018-08-05 05:30:00,-567989184.861651,-99026536.96572499,-30526404.03556042,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821424,-98967760.75274058,-30558304.462546658,83970015.76313898
137,2018-08-05 06:00:00,-535793607.4023717,-103846087.75441201,-28051237.86298443,101099044.56227066
138,2018-08-05 06:15:00,-512351923.1036474,-98787261.62900548,-30655459.884502046,124499084.50786744
139,2018-08-05 06:30:00,-529110153.5157809,-98879338.55047767,-30606290.789017938,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776068,-98806831.81095001,-30642717.81843227,168997676.65189004
141,2018-08-05 07:00:00,-425943757.514435,-103542127.73299453,-28219405.98183558,209753893.4314438
142,2018-08-05 07:15:00,-389639705.8869562,-98154439.71450187,-30994145.851129524,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291114,-97988026.40127209,-31082795.17496868,271534636.335483
144,2018-08-05 07:45:00,-334835990.5191038,-97937363.83168283,-31111695.39896864,295376242.5023397
145,2018-08-05 08:00:00,-397896601.8869654,-102903781.0737964,-28550706.308084793,307257311.8720552
146,2018-08-05 08:15:00,-381350802.4311667,-97494909.36837518,-31334207.766477883,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430085,-96936950.85750395,-31638573.910136666,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785058,-96958258.04992989,-31632135.71981386,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170644,-101517772.51565427,-29293248.49049367,497679514.0256789
150,2018-08-05 09:15:00,-58695587.338178426,-96278240.47418559,-31994740.900475197,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655581607,-96280322.53076254,-31999022.225000683,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291479,-95644891.34172317,-32334810.827123348,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394066,-101126903.7551645,-29548625.043530215,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825835,-101366058.1641671,-29429866.67151647,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851954,-105589635.17676556,-27258912.371052187,1007699614.6249207
156,2018-08-05 12:15:00,448203091.8276855,-107697008.40056922,-26176874.72974594,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255056,-100414384.3044256,-29923476.77376505,1036282675.5186447
158,2018-08-05 12:45:00,480992465.7477936,-100210263.90035172,-30030756.04994803,1053715464.402282
159,2018-08-05 13:00:00,499537624.3661614,-104731815.3804204,-27707377.616532642,1074110169.731496
160,2018-08-05 13:45:00,511162780.14920384,-92367858.86303705,-34067243.312201925,1165617073.5880814
161,2018-08-05 14:00:00,491899142.23915386,-97144606.39888705,-31608564.821014866,1065717098.7348127
162,2018-08-05 14:15:00,493941024.5783555,-92169298.62541908,-34167525.87317595,1063699355.9693087
163,2018-08-05 14:30:00,512461775.819667,-91962161.66240004,-34276049.91267149,1084266632.1191657
164,2018-08-05 14:45:00,522168712.86842054,-91631102.20633475,-34447358.684769265,1089469149.7309608
165,2018-08-05 15:00:00,531276076.00709635,-96670394.67847455,-31853513.62300705,1100763619.4171689
166,2018-08-05 15:45:00,184185904.7131003,-91527735.17547596,-34464015.53112871,967506119.867457
167,2018-08-05 16:00:00,463284875.1181666,-101159901.34132583,-29540459.99588037,1035408622.2760402
168,2018-08-05 16:15:00,430809500.92797333,-89056760.43363853,-35761457.28335038,1010542345.9152926
169,2018-08-05 16:30:00,342921624.10329753,-96484633.98798943,-31931909.56667143,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734637,-88842131.6235316,-35857176.75360116,886810775.8271338
171,2018-08-05 17:00:00,211252113.21180233,-92743049.54221593,-33841959.60761451,808218929.1582407
172,2018-08-05 18:15:00,-292247454.37288976,-88680584.5350603,-35876939.60875658,336627916.8060958
173,2018-08-05 18:30:00,-318915198.11355263,-88701772.09028599,-35863168.57223419,309744156.78566235
174,2018-08-05 18:45:00,-327949598.0812822,-88241352.47802287,-36098982.0041162,301016911.20595044
175,2018-08-05 19:00:00,-313347755.6873284,-93064507.20331322,-33620065.0217355,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626768,-87383911.16752926,-36579077.77902072,651915188.0454321
177,2018-08-05 20:45:00,-50671483.205961876,-87141602.23982811,-36697644.04085107,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771678,-92326681.61561355,-34031951.91863466,604035769.4652275
179,2018-08-05 22:15:00,171037590.0885133,-85864638.25469467,-37378276.00212249,819509160.8643341
180,2018-08-05 22:30:00,176662013.052396,-85870743.584752,-37375741.56885631,825823138.4684727
181,2018-08-05 22:45:00,151565993.7773274,-85737096.40258834,-37441769.65604716,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187401,-91207210.00583073,-34607142.07791274,599571840.7283367
183,2018-08-05 23:45:00,-109288314.9712234,-85853975.40715584,-37353533.43781096,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583455,-90845980.24700917,-34788322.73945895,510940683.7579179
185,2018-08-06 00:15:00,-162180035.5895804,-86599520.05123547,-36964418.390912816,445370744.2304751
186,2018-08-06 00:30:00,-286973150.3526481,-87282806.17508952,-36599550.46988098,329511061.26059234
187,2018-08-06 00:45:00,-348983128.185721,-87683848.97693597,-36386615.8130823,271826856.0050116
188,2018-08-06 01:00:00,-396450413.0668293,-93235184.48616795,-33526510.649927408,227513075.2757304
189,2018-08-06 01:15:00,-445615526.18917286,-88603813.33160745,-35903068.79386905,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288237,-88630094.91818513,-35885367.29678895,144937278.93743765
191,2018-08-06 01:45:00,-507095120.2923505,-88978384.20320573,-35703800.86982585,123272767.19244829
192,2018-08-06 03:15:00,-576507384.6546139,-89805355.7027431,-35271013.68916996,58752441.4232542
193,2018-08-06 03:30:00,-583963190.270697,-89974855.52642457,-35183037.512115024,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283427,-90158223.53770743,-35088853.034125835,53681575.77668536
195,2018-08-06 04:00:00,-581908704.5747181,-95151239.18881597,-32521106.281118456,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804997,-90311530.24597481,-35064165.64148075,53759365.69499695
197,2018-08-06 04:30:00,-564360816.385934,-90267433.20110919,-35088752.84115047,69679864.92706501
198,2018-08-06 04:45:00,-535858507.9619416,-90130999.80803892,-35161992.410922796,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105837,-95131363.18357542,-32590148.037850525,95122123.5682927
200,2018-08-06 05:15:00,-533281473.511548,-90114516.09222198,-35170747.41863878,99271948.53245254
201,2018-08-06 05:30:00,-525799152.6912398,-89773910.13545874,-35346724.489779636,104907503.88309838
202,2018-08-06 05:45:00,-513131541.8019072,-89681971.67640659,-35395373.62117751,116938243.72269176
203,2018-08-06 06:45:00,-500375931.80983716,-88900623.60915574,-35798587.34538143,131538570.87872083
204,2018-08-06 07:15:00,-476487077.1990912,-88644892.5667874,-35932683.485073544,152407807.59486127
205,2018-08-06 07:30:00,-471222625.44039905,-88360120.67692438,-36079705.51173693,157350189.63991398
206,2018-08-06 07:45:00,-456506930.8591214,-88258046.95624468,-36133788.36425722,168899625.63211212
207,2018-08-06 08:00:00,-430971746.0925023,-92797393.31308883,-33802008.78967749,194634961.0539269
208,2018-08-06 08:15:00,-403709873.9872959,-87648556.36037081,-36452935.01230626,219671234.34114268
209,2018-08-06 08:30:00,-375474008.65115833,-87537939.50971237,-36512869.42405176,245735488.8393736
210,2018-08-06 08:45:00,-357110216.9661377,-87265796.24649031,-36654808.25697857,263523460.2360537
211,2018-08-06 09:00:00,-316737486.31495345,-91541786.44926375,-34460070.30914476,302005783.2417074
212,2018-08-06 09:15:00,-260265151.25254712,-86154139.58012092,-37236963.25976035,354024080.4887107
213,2018-08-06 09:30:00,-209649492.70292366,-85711064.49956366,-37470288.9906386,399309503.6519384
214,2018-08-06 09:45:00,-146083024.05841708,-85014366.2974012,-37835447.05617469,459744375.0935
215,2018-08-06 10:45:00,94679708.13538496,-85878222.70839712,-37417130.95473897,687266133.6471974
216,2018-08-06 11:00:00,112002579.30164437,-114559698.55457248,-22668454.403544407,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635867,-100933900.3513351,-29679002.584779207,725772640.189312
218,2018-08-06 11:30:00,152292888.4181077,-100642706.20133884,-29823782.293733448,742016332.1513441
219,2018-08-06 11:45:00,182012881.11179426,-95983326.64981008,-32229614.08021763,768552549.8000576
220,2018-08-06 12:00:00,215520763.95924747,-105915713.2730058,-27125118.37024079,796912356.7907588
221,2018-08-06 12:15:00,219286039.47235158,-86377597.07248758,-37173738.5678474,799726603.980563
222,2018-08-06 12:30:00,236132860.27242368,-93619893.24325909,-33450938.058999296,812746051.2429006
