,CreationTime,principal component 1,InBandwidth
3230,2018-09-20 17:30:00,39159009.321950205,776433172.955006
3231,2018-09-20 17:45:00,301126830.29896164,869570828.9576397
3232,2018-09-20 18:00:00,279470322.8611427,845433908.120337
3233,2018-09-20 18:15:00,250136425.41807324,821802525.8740999
3234,2018-09-20 18:30:00,179473728.7671625,755083664.5650197
3235,2018-09-20 18:45:00,75157709.05521941,660612872.5092895
3236,2018-09-20 19:00:00,178484276.60489985,758166452.9366701
3237,2018-09-20 19:15:00,14605175.104192954,758684246.8517504
3238,2018-09-20 19:30:00,-57255270.64747405,671508744.5733639
3239,2018-09-20 19:45:00,250155375.01522404,826510273.7527015
3240,2018-09-20 20:00:00,280853113.75237083,851013281.1881247
3241,2018-09-20 20:15:00,292500654.1795359,863357944.0111454
3242,2018-09-20 20:30:00,307769310.7929556,876250059.1846963
3243,2018-09-20 20:45:00,336485145.83898216,904741020.2173537
3244,2018-09-20 21:00:00,43692484.525473565,796758021.1749762
3245,2018-09-20 21:15:00,60868228.992337175,887612159.8284807
3246,2018-09-20 21:30:00,59476643.032641746,815280282.3307588
3247,2018-09-20 21:45:00,456557671.2029092,1012255341.1676824
3248,2018-09-20 22:00:00,649165813.1459061,1188180136.2253327
3249,2018-09-20 22:15:00,631610597.0733528,1174322465.7145278
3250,2018-09-20 22:30:00,597556814.8668085,1139485963.2687535
3251,2018-09-20 22:45:00,543642870.5897785,1091095219.1213934
3252,2018-09-20 23:00:00,462726748.44022185,1016465593.993519
3253,2018-09-20 23:15:00,54072249.906065725,803681429.3250222
3254,2018-09-20 23:30:00,-22306472.747175492,716026226.3788322
3255,2018-09-20 23:45:00,143770340.27313742,723995531.9451593
3256,2018-09-21 00:00:00,54817273.659799635,642858082.816888
3257,2018-09-21 00:15:00,-31465126.52447119,562285739.1147108
3258,2018-09-21 00:30:00,-125428795.73299503,473204889.8200293
3259,2018-09-21 00:45:00,-191834077.9117943,410703453.91951364
3260,2018-09-21 01:00:00,-249653676.97580174,356696071.85836035
3261,2018-09-21 02:15:00,-510954934.4196165,140659143.48472834
3262,2018-09-21 02:30:00,-483407720.89123154,147738952.84017792
3263,2018-09-21 02:45:00,-498403142.901311,132910652.34000656
3264,2018-09-21 03:00:00,-515670098.4831181,116704111.23609354
3265,2018-09-21 03:15:00,-527721972.0708537,105447202.40888365
3266,2018-09-21 03:30:00,-534913195.66353863,99358175.92386948
3267,2018-09-21 03:45:00,-542241366.0058352,92881453.62135382
3268,2018-09-21 04:00:00,-547575926.6258105,87109806.82898386
3269,2018-09-21 04:15:00,-550866801.0981601,83371022.7699603
3270,2018-09-21 04:30:00,-549761394.8955181,84716974.79173186
3271,2018-09-21 04:45:00,-549095439.881503,86061002.27914637
3272,2018-09-21 05:00:00,-566739568.9553934,74299866.72897457
3273,2018-09-21 05:30:00,-538853063.5096693,95608158.5267095
3274,2018-09-21 05:45:00,-522833244.370532,110305213.5202372
3275,2018-09-21 06:00:00,-498031674.14403063,133992647.64680384
3276,2018-09-21 06:15:00,-462424190.5221281,167964733.05660334
3277,2018-09-21 06:30:00,-432882353.1158177,193635696.50665957
3278,2018-09-21 06:45:00,-397449593.12824124,226553186.71693307
3279,2018-09-21 07:00:00,-370001265.2103331,250977320.7718821
3280,2018-09-21 07:15:00,-348847043.37704444,269510941.1883435
3281,2018-09-21 07:30:00,-308066670.65954703,307807602.2391592
3282,2018-09-21 07:45:00,-375975103.5926786,297614317.8552352
3283,2018-09-21 08:00:00,-354268054.8957352,320068256.5587137
3284,2018-09-21 08:15:00,-197125541.85004798,408434225.6521317
3285,2018-09-21 08:30:00,-169028975.52568656,435152232.31953377
3286,2018-09-21 08:45:00,-138064293.11337778,465368582.7244479
3287,2018-09-21 09:00:00,-253273919.13837466,443986653.71235335
3288,2018-09-21 09:15:00,-206902504.58019063,501380345.7519412
3289,2018-09-21 09:30:00,60252832.37567368,648730740.0653378
3290,2018-09-21 09:45:00,114366783.71666647,697789414.8527262
3291,2018-09-21 10:00:00,177984338.02292764,756529963.6591038
3292,2018-09-21 10:15:00,244573103.81282958,819152740.1167513
3293,2018-09-21 10:30:00,295259919.5913192,868662459.5190494
3294,2018-09-21 10:45:00,319841710.7819437,887757503.2933117
3295,2018-09-21 11:00:00,347877310.4831087,909473086.7068268
3296,2018-09-21 11:15:00,55229049.12291126,798243192.3979878
3297,2018-09-21 11:30:00,49035288.1900389,809719442.0341781
3298,2018-09-21 11:45:00,370889675.71254355,936641610.1420633
3299,2018-09-21 12:00:00,403092546.4064071,967943329.9796935
3300,2018-09-21 12:15:00,410969138.64920944,974994150.7336867
3301,2018-09-21 12:30:00,386650325.03720975,948542174.53205
3302,2018-09-21 12:45:00,378867441.91013795,937649810.0287614
3303,2018-09-21 13:00:00,360368751.97907776,921769341.0814573
3304,2018-09-21 13:15:00,316141429.2761762,882890158.3643086
3305,2018-09-21 13:30:00,330597835.5418317,895296218.9670807
3306,2018-09-21 13:45:00,345401405.29369295,905672476.8425832
3307,2018-09-21 14:00:00,322145584.76184,886153287.7359422
3308,2018-09-21 14:15:00,430780291.80714065,986889818.658232
3309,2018-09-21 14:30:00,480263069.4857531,1031139317.3448381
3310,2018-09-21 14:45:00,520531632.96450824,1071936245.4946721
3311,2018-09-21 15:00:00,567977918.1838685,1118196141.5962844
3312,2018-09-21 15:15:00,566911469.6276243,1118207621.8410268
3313,2018-09-21 15:30:00,593982535.596177,1137023968.1141946
3314,2018-09-21 15:45:00,553064728.9632819,1101916936.9747298
3315,2018-09-21 16:00:00,135779596.40190348,901068846.1222986
3316,2018-09-21 16:15:00,109759623.29735154,865278425.717499
3317,2018-09-21 16:30:00,393533518.8518935,953126621.2509676
3318,2018-09-21 16:45:00,355352827.3902525,923189052.4174019
3319,2018-09-21 17:00:00,309295017.54237646,881235928.1270338
3320,2018-09-21 17:15:00,261175422.44826323,838155680.7899021
3321,2018-09-21 17:30:00,225572868.72109923,801784681.4082782
3322,2018-09-21 17:45:00,213318196.41120905,791328904.2575628
3323,2018-09-21 18:00:00,203788324.22156873,780212604.5133673
3324,2018-09-21 19:00:00,178437509.72503233,755667892.5473387
3325,2018-09-21 20:15:00,403393553.1338335,963597492.1884084
3326,2018-09-21 20:30:00,422840857.4683824,981918500.2703233
3327,2018-09-21 20:45:00,429990791.95369494,988005203.3155537
3328,2018-09-21 21:00:00,437878775.11002713,993341624.5535011
3329,2018-09-21 21:15:00,455120589.3863831,1012212848.9717846
3330,2018-09-21 21:30:00,481826642.8603514,1036186274.3379197
3331,2018-09-21 21:45:00,467478765.8541389,1024848640.8982768
3332,2018-09-21 22:00:00,468235827.3755245,1020878862.9076141
3333,2018-09-21 22:15:00,478064889.765577,1035051782.054544
3334,2018-09-21 22:30:00,447903971.26489055,1001365213.194931
3335,2018-09-21 23:00:00,309435435.56868684,874131267.8086891
3336,2018-09-21 23:45:00,28066121.685978808,612984347.2187152
3337,2018-09-22 00:00:00,-60692559.446626656,532692770.4257591
3338,2018-09-22 00:15:00,-141345811.52843085,458324098.0516665
3339,2018-09-22 00:30:00,-212670528.376027,390391132.1810342
3340,2018-09-22 00:45:00,-273913497.3801497,337523851.92516536
3341,2018-09-22 01:00:00,-317999197.1016768,296828391.83307385
3342,2018-09-22 01:15:00,-369482388.1185597,249522171.55528307
3343,2018-09-22 01:30:00,-406226670.63845384,216331144.1941664
3344,2018-09-22 01:45:00,-442450196.69742274,181081685.6631325
3345,2018-09-22 02:00:00,-468449905.6842243,155332058.02671447
3346,2018-09-22 02:15:00,-485147372.0951315,140567056.36147112
3347,2018-09-22 02:45:00,-515463000.0354301,114741819.74654303
3348,2018-09-22 03:00:00,-529374078.04354596,100671903.09897596
3349,2018-09-22 03:15:00,-539669145.277318,91808040.7419745
3350,2018-09-22 03:30:00,-547109524.1446111,85917637.27759787
3351,2018-09-22 03:45:00,-558449679.7783104,76564679.26297496
3352,2018-09-22 04:00:00,-560188527.5277712,75038720.71193194
3353,2018-09-22 04:15:00,-558304920.2602638,77083365.24937578
3354,2018-09-22 04:30:00,-561147052.9047717,75169766.63097776
3355,2018-09-22 04:45:00,-556452227.194374,79764155.28005835
3356,2018-09-22 05:00:00,-557468665.1936904,77930730.96994631
3357,2018-09-22 05:15:00,-554895586.3076631,81100698.04001139
3358,2018-09-22 05:30:00,-545620882.3379316,90309024.72425732
3359,2018-09-22 05:45:00,-529606293.71468264,104553791.49025609
3360,2018-09-22 06:00:00,-508138174.83528906,124162906.79589924
3361,2018-09-22 06:15:00,-475404966.26013523,155987937.991449
3362,2018-09-22 08:15:00,-251741484.2236334,360303592.72446513
3363,2018-09-22 08:30:00,-219445098.45304838,388251542.3031723
3364,2018-09-22 09:00:00,-284012506.96089536,412738832.0299078
3365,2018-09-22 09:15:00,-241635038.14541504,457204398.5969677
3366,2018-09-22 09:30:00,-952636.2863610598,592668163.685071
3367,2018-09-22 09:45:00,66873598.88857538,657547236.3499585
3368,2018-09-22 10:00:00,157950860.2902767,739528248.6572754
3369,2018-09-22 10:15:00,229511995.78339818,803972777.3570464
3370,2018-09-22 10:30:00,274782721.63014036,845427543.1423516
3371,2018-09-22 10:45:00,267739744.91632608,838254776.8391516
3372,2018-09-22 11:00:00,262282338.11149612,835709195.7485273
3373,2018-09-22 11:15:00,289657517.1740258,863892730.107094
3374,2018-09-22 11:30:00,294198092.27249604,869170098.6172595
3375,2018-09-22 11:45:00,297493470.095151,871610649.3794286
3376,2018-09-22 12:00:00,306469276.5785008,881482766.1853594
3377,2018-09-22 12:15:00,317548182.9507166,886429823.8866074
3378,2018-09-22 12:30:00,339151275.8931761,913220366.9578848
3379,2018-09-22 13:00:00,336626572.4630704,903700638.0210644
3380,2018-09-22 13:15:00,312354918.1151052,877177044.4336764
3381,2018-09-22 13:30:00,313393179.5572302,880765949.1884047
3382,2018-09-22 13:45:00,311576246.9781246,879406651.5446191
3383,2018-09-22 14:00:00,338564536.4504876,906286756.774039
3384,2018-09-22 14:15:00,362323892.01187766,929727585.1392627
3385,2018-09-22 14:30:00,399886740.5458882,964206610.1910033
3386,2018-09-22 14:45:00,444087135.97898066,1001563071.1677033
3387,2018-09-22 15:00:00,452841217.0692115,1005925571.9323684
3388,2018-09-22 15:15:00,456193072.7353305,1010283053.6290426
3389,2018-09-22 15:30:00,457539423.82507783,1007524396.229352
3390,2018-09-22 15:45:00,426607149.377376,984040657.2928149
3391,2018-09-22 16:00:00,413792506.0051946,979406699.198284
3392,2018-09-22 16:15:00,381173559.8763604,945000511.7459307
3393,2018-09-22 16:30:00,356915370.2779188,919473059.0854236
3394,2018-09-22 16:45:00,352265666.4305514,916316222.0117682
3395,2018-09-22 17:00:00,320760373.1638051,886470112.7317632
3396,2018-09-22 17:15:00,283932479.1870769,857336696.3685694
3397,2018-09-22 17:30:00,247032482.65835756,815702998.2709602
3398,2018-09-22 17:45:00,233369035.43521553,803534171.8988719
3399,2018-09-22 18:00:00,198515387.13689592,775333755.0869203
3400,2018-09-22 18:15:00,183938374.6114288,763697950.8061789
3401,2018-09-22 18:30:00,158023961.89489615,738766432.2792733
3402,2018-09-22 18:45:00,76273870.84179759,664474109.8831676
3403,2018-09-22 19:00:00,125121949.05893558,707500865.4581676
3404,2018-09-22 19:15:00,194166250.41146332,774648694.5688323
3405,2018-09-22 19:30:00,260412861.85949397,831949509.5959332
3406,2018-09-22 19:45:00,312462744.68773377,884299585.4544783
3407,2018-09-22 20:00:00,327690512.6012294,893554748.7274102
3408,2018-09-23 04:30:00,-577271839.9231821,59798584.77944449
3409,2018-09-23 04:45:00,-562146252.8160886,72482595.20005369
3410,2018-09-23 05:00:00,-561234206.1915237,73956239.25436479
3411,2018-09-23 05:15:00,-552605538.4219025,82227671.73490623
3412,2018-09-23 05:30:00,-543399272.6122249,91925498.16985025
3413,2018-09-23 06:00:00,-514057469.9403104,119196602.12179533
3414,2018-09-23 06:15:00,-484167126.57900804,147332239.05073407
3415,2018-09-23 06:30:00,-448615691.67195904,177545329.97487038
3416,2018-09-23 06:45:00,-428901324.60946447,197282239.76040068
3417,2018-09-23 07:00:00,-406933645.6662035,216684241.26407468
3418,2018-09-23 07:15:00,-376713750.05257,245640244.7929497
3419,2018-09-23 07:30:00,-353244575.4031003,266979219.7586083
3420,2018-09-23 07:45:00,-320313124.6299015,298062220.55443597
3421,2018-09-23 08:00:00,-277588273.6803798,334676418.3593376
3422,2018-09-23 08:15:00,-249777582.299181,359882642.0305061
3423,2018-09-23 08:30:00,-343035566.1161655,339237260.3890399
3424,2018-09-23 08:45:00,-315106640.3215068,374958509.80248666
3425,2018-09-23 09:00:00,-123971320.77185923,479093589.9426178
3426,2018-09-23 09:15:00,-86069446.40669104,513677263.1381074
