,CreationTime,principal component 1,principal component 2,InBandwidth
76,2018-08-04 11:15:00,168128204.21568176,-98115040.34913585,818234740.4919213
77,2018-08-04 11:30:00,182683117.31546015,-90955455.8835567,834352507.7975148
78,2018-08-04 11:45:00,202998565.28043908,-98672048.95166099,853244988.9812374
79,2018-08-04 12:00:00,215917503.3616787,-110984910.83949167,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679092,-98453209.36073901,883490840.8107142
81,2018-08-04 12:30:00,268007141.69145912,-112806955.93073831,919947393.2962273
82,2018-08-04 12:45:00,265891366.47088343,-98273835.14251834,918391054.4012797
83,2018-08-04 13:00:00,279202923.1372058,-103432224.07101957,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156138,-93988692.82755601,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440897,-123314737.95925248,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304145,-100843047.08741337,905097636.7844207
87,2018-08-04 14:00:00,253595296.5557819,-106036490.68408398,907289220.2068127
88,2018-08-04 14:15:00,242717224.42920247,-101058168.18239473,895903157.4534492
89,2018-08-04 14:30:00,277090414.57727766,-108055567.18276232,930475102.8995867
90,2018-08-04 14:45:00,273356963.25717163,-106359504.08154787,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485495,-103841013.96193215,924003704.93461
92,2018-08-04 15:15:00,291472073.57875675,-98914361.9115601,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876596,-98932191.16467173,929795407.7069854
94,2018-08-04 15:45:00,244809338.1844454,-106508051.44178939,897184753.3943951
95,2018-08-04 16:00:00,195421232.4712917,-111596329.55388534,846940437.0720942
96,2018-08-04 16:15:00,170782635.90465876,-99559175.10276383,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533725,-92337133.16343164,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173514,-99205840.87593295,766027857.8448514
99,2018-08-04 17:00:00,87026060.676005,-103963429.45525447,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982206,-91915189.49847773,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389887,-99325596.50793985,631001452.3304819
102,2018-08-04 17:45:00,-51663799.690206505,-92165248.02478,596381806.2180856
103,2018-08-04 18:00:00,-49546203.20261051,-97145281.33459768,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477473296,-92163666.16378595,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803684,-92126630.554594,633968192.1801709
106,2018-08-04 18:45:00,-41277552.74826548,-92214821.9333454,605801732.5942851
107,2018-08-04 21:30:00,376642184.16147274,-92013358.38185056,1029067611.3903039
108,2018-08-04 21:45:00,371472460.99643624,-92343171.33000042,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457982,-99323754.86775905,1032936543.1248063
110,2018-08-04 22:15:00,357618643.64899236,-98751451.1764395,1009516833.719424
111,2018-08-04 22:30:00,328275184.3723999,-97365712.99480787,979547731.98191
112,2018-08-04 22:45:00,291824422.04717445,-92491369.43799947,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650288,-96541971.53242525,900829188.0464427
114,2018-08-04 23:15:00,200645477.7172842,-91727585.00477763,849852859.852041
115,2018-08-04 23:30:00,114579980.30613928,-103079802.59796417,762703026.1079651
116,2018-08-04 23:45:00,33819891.78809587,-92591082.4091572,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305662,-98754423.10118538,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454235,-94482099.16709371,803673419.4493607
119,2018-08-05 01:00:00,-333292202.09471005,-101117304.36497281,309068843.95421433
120,2018-08-05 01:15:00,-397715048.411383,-96901252.06002273,233345969.89428097
121,2018-08-05 01:30:00,-436317807.7110409,-97287869.66098563,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974481,-97565698.68139856,168205484.66181296
123,2018-08-05 02:00:00,-489486776.54434484,-109802020.46809186,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469401,-97918978.31996644,129671048.62957652
125,2018-08-05 02:30:00,-522139798.2468163,-98308021.65501368,112582425.11069249
126,2018-08-05 03:00:00,-547606647.766957,-103537904.83804326,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557731,-98789289.42389011,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048526,-98917385.94630806,65886541.42220851
129,2018-08-05 03:45:00,-584913449.4702123,-99063111.35644448,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550799,-104080449.52846318,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019746,-99160165.31311077,64844912.94278096
132,2018-08-05 04:45:00,-604264033.7288064,-99277922.94232145,33417206.09697164
133,2018-08-05 05:00:00,-585826575.3575534,-104197160.85590626,51917659.87526981
134,2018-08-05 05:15:00,-576202788.434514,-99207986.45907073,61084755.07865237
135,2018-08-05 05:30:00,-567989184.8616501,-99026536.96572514,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821417,-98967760.75274073,83970015.76313898
137,2018-08-05 06:00:00,-535793607.402371,-103846087.75441217,101099044.56227066
138,2018-08-05 06:15:00,-512351923.103647,-98787261.62900563,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578027,-98879338.55047785,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776061,-98806831.81095016,168997676.65189004
141,2018-08-05 07:00:00,-425943757.514435,-103542127.73299469,209753893.4314438
142,2018-08-05 07:15:00,-389639705.8869557,-98154439.71450202,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291111,-97988026.40127224,271534636.335483
144,2018-08-05 07:45:00,-334835990.51910347,-97937363.831683,295376242.5023397
145,2018-08-05 08:00:00,-397896601.8869648,-102903781.07379657,307257311.8720552
146,2018-08-05 08:15:00,-381350802.43116647,-97494909.3683753,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430043,-96936950.85750408,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785055,-96958258.04993005,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170638,-101517772.51565443,497679514.0256789
150,2018-08-05 09:15:00,-58695587.338178456,-96278240.4741857,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582346,-96280322.53076267,601121924.1021755
152,2018-08-05 09:45:00,74320067.0329149,-95644891.34172328,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394059,-101126903.75516464,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825805,-101366058.16416726,1003129356.7228572
155,2018-08-05 12:00:00,431877580.4385186,-105589635.17676571,1007699614.6249207
156,2018-08-05 12:15:00,448203091.8276843,-107697008.4005694,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255044,-100414384.30442573,1036282675.5186447
158,2018-08-05 12:45:00,480992465.7477929,-100210263.90035184,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616063,-104731815.3804205,1074110169.731496
160,2018-08-05 13:45:00,511162780.14920336,-92367858.86303718,1165617073.5880814
161,2018-08-05 14:00:00,491899142.23915327,-97144606.39888719,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835466,-92169298.6254192,1063699355.9693087
