,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
59,2018-08-04 07:00:00,-429814399.720484,-100500724.0326923,-29671826.532734398,-3477.4144179666855,211129548.7061004
60,2018-08-04 07:15:00,-392144684.30697006,-95431590.4394841,-32282884.04291618,-1392.9347154394877,248987030.0941704
61,2018-08-04 07:30:00,-382039852.2083096,-95064327.03600447,-32472851.957763772,1395.3617417506368,259967244.15024072
62,2018-08-04 07:45:00,-354410800.3611814,-94623204.20885934,-32702695.616496183,1237.5988726707642,287419776.09520876
63,2018-08-04 08:00:00,-321094405.38093305,-99485237.41750842,-30205801.1938266,1418.9243897037693,321691619.08935106
64,2018-08-04 08:15:00,-283101155.9610408,-94415297.61151673,-32817308.010371625,4099.941345540553,359888480.1841775
65,2018-08-04 08:30:00,-243192097.96469814,-93727254.16645436,-33175464.497834444,3316.576954130529,399924604.87397
66,2018-08-04 08:45:00,-210483807.77046525,-93731256.5451015,-33176932.026919525,6339.827852218203,433281176.87640864
67,2018-08-04 09:00:00,-168451951.70508078,-98148998.53155762,-30909472.101116408,4115.546318786786,476613488.20006114
68,2018-08-04 09:15:00,-137271478.4776987,-93045733.04742767,-33537381.86852372,10524.6528797944,507934143.9699144
69,2018-08-04 09:30:00,-95873140.13693786,-92550170.76727231,-33796708.16121574,9664.704531363177,549872719.7060671
70,2018-08-04 09:45:00,-27895218.53277325,-92023579.02369057,-34074858.31137241,9872.205850757438,618722572.9624187
71,2018-08-04 10:00:00,14688755.849340063,-104010978.05063638,-27914472.164490886,6032.9098898268485,662250533.1430192
72,2018-08-04 10:15:00,47902274.648247845,-91090143.25105694,-34563087.22542722,8875.501094092873,695550242.3005838
73,2018-08-04 10:30:00,95073425.99508946,-99992420.45459563,-29989838.97468558,2116.1397620468492,743182034.0856544
74,2018-08-04 10:45:00,134990067.85535803,-97523530.70314488,-31263864.114347853,3121.018083649226,783651651.3171858
75,2018-08-04 11:00:00,148976245.40229893,-97881058.77149735,-31081500.143209964,2101.793381100024,797603135.5423398
76,2018-08-04 11:15:00,168128204.21568203,-98115040.34913589,-30963230.05779329,5725.612141734918,818234740.4919213
77,2018-08-04 11:30:00,182683117.3154607,-90955455.88355678,-34646887.57721707,13350.547913074777,834352507.7975148
78,2018-08-04 11:45:00,202998565.2804397,-98672048.95166105,-30680526.823162895,6671.7235228148165,853244988.9812374
79,2018-08-04 12:00:00,215917503.36167914,-110984910.83949171,-24349560.26118065,2439.5490632432848,867633262.7260706
80,2018-08-04 12:15:00,232270061.20679158,-98453209.36073905,-30796229.50251492,7757.97831509103,883490840.8107142
81,2018-08-04 12:30:00,268007141.6914597,-112806955.93073836,-23418121.736596413,-485.51795971524257,919947393.2962273
82,2018-08-04 12:45:00,265891366.4708839,-98273835.14251836,-30892103.899070486,10977.715166726144,918391054.4012797
83,2018-08-04 13:00:00,279202923.1372066,-103432224.07101966,-28240641.241284963,7917.790011774804,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156153,-93988692.82755607,-33095645.612003922,10069.191499453109,917030305.9264381
85,2018-08-04 13:30:00,254324190.2444094,-123314737.95925252,-18012619.63291602,-8726.802043834692,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304154,-100843047.0874134,-29569328.51381611,3742.007511833233,905097636.7844207
87,2018-08-04 14:00:00,253595296.5557819,-106036490.68408403,-26898538.013419162,2346.63591556251,907289220.2068127
88,2018-08-04 14:15:00,242717224.429203,-101058168.18239479,-29457657.63031804,3795.601713118916,895903157.4534492
89,2018-08-04 14:30:00,277090414.577278,-108055567.18276237,-25862683.18172453,4514.8050488524805,930475102.8995867
90,2018-08-04 14:45:00,273356963.2571719,-106359504.08154793,-26734544.26389362,9504.726352032389,926927818.3168449
91,2018-08-04 15:00:00,270602464.34855,-103841013.96193217,-28029478.073337566,7562.085570297925,924003704.93461
92,2018-08-04 15:15:00,291472073.57875705,-98914361.91156013,-30565448.72657928,6175.639250700836,945275771.6984012
93,2018-08-04 15:30:00,276244352.1087666,-98932191.1646718,-30554637.5792394,5420.588630992409,929795407.7069854
94,2018-08-04 15:45:00,244809338.18444583,-106508051.44178946,-26715501.19678238,7089.375558611159,897184753.3943951
95,2018-08-04 16:00:00,195421232.4712922,-111596329.55388536,-24093333.959539663,5620.9263271155505,846940437.0720942
96,2018-08-04 16:15:00,170782635.90465897,-99559175.10276392,-30281243.678239405,9997.572807137884,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533757,-92337133.1634317,-33991455.902893156,11336.37117335118,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173548,-99205840.87593302,-30457134.030228917,10365.308460546641,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600524,-103963429.4552545,-28007155.577875763,9056.84107193086,735258322.4469825
100,2018-08-04 17:15:00,32521546.68098235,-91915189.49847782,-34197545.57735332,14304.746088643733,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389757,-99325596.50793993,-30381221.919982985,10878.79529016347,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020665,-92165248.02478006,-34059865.04232965,15646.31491160151,596381806.2180856
103,2018-08-04 18:00:00,-49546203.202610195,-97145281.33459775,-31498921.599866066,12134.42733919951,597808261.9854394
104,2018-08-04 18:15:00,-30844446.47747298,-92163666.16378604,-34062923.660504475,15347.791198283574,616813010.2327317
105,2018-08-04 18:30:00,-13966227.18680368,-92126630.55459408,-34083792.22830408,11217.278265772737,633968192.1801709
106,2018-08-04 18:45:00,-41277552.748265736,-92214821.93334545,-34035488.81882932,18080.15013032149,605801732.5942851
107,2018-08-04 21:30:00,376642184.1614733,-92013358.38185059,-34184161.26177888,27238.681031415657,1029067611.3903039
108,2018-08-04 21:45:00,371472460.99643636,-92343171.33000043,-34013982.23430427,34462.72569093073,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457992,-99323754.86775908,-30424903.712087844,27152.895489596835,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489926,-98751451.17643954,-30716787.243526567,27610.264353877148,1009516833.719424
111,2018-08-04 22:30:00,328275184.37240046,-97365712.9948079,-31426292.238763887,27093.567809707503,979547731.98191
112,2018-08-04 22:45:00,291824422.04717475,-92491369.43799953,-33929179.30129083,28278.572848847194,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650303,-96541971.5324253,-31841607.92945997,23876.341041004453,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728426,-91727585.00477767,-34312156.67640643,17414.525118829566,849852859.852041
115,2018-08-04 23:30:00,114579980.30613947,-103079802.59796424,-28464565.32120954,10830.906326722326,762703026.1079651
116,2018-08-04 23:45:00,33819891.78809577,-92591082.40915725,-33850082.71573081,12306.142500036907,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305703,-98754423.10118546,-30651779.315052785,70456.7921108482,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454384,-94482099.1670938,-32872518.67766245,165744.07119120788,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947105,-101117304.36497286,-29425564.223270126,-466.10750636018145,309068843.95421433
120,2018-08-05 01:15:00,-397715048.4113836,-96901252.06002285,-31586886.343008168,-7301.566473345859,233345969.89428097
121,2018-08-05 01:30:00,-436317807.7110416,-97287869.66098577,-31374349.009157598,-6954.8439728554395,196856105.70521477
122,2018-08-05 01:45:00,-466506995.0974483,-97565698.68139867,-31237750.836393163,-6210.907946623717,168205484.66181296
123,2018-08-05 02:00:00,-489486776.54434574,-109802020.46809193,-24942277.629032772,-12614.119063477981,145035070.734005
124,2018-08-05 02:15:00,-505314761.6469409,-97918978.31996654,-31051878.775156204,-7073.509988621128,129671048.62957652
125,2018-08-05 02:30:00,-522139798.246817,-98308021.6550138,-30849983.856333725,-6590.436500669803,112582425.11069249
126,2018-08-05 03:00:00,-547606647.7669578,-103537904.83804335,-28157570.137462433,-7435.571804175031,89228539.94999142
127,2018-08-05 03:15:00,-557802553.8557738,-98789289.42389023,-30598627.241891682,-4894.61798618824,79061794.59474382
128,2018-08-05 03:30:00,-582959422.2048534,-98917385.94630821,-30530034.518101316,-36.723050459339106,65886541.42220851
129,2018-08-05 03:45:00,-584913449.470213,-99063111.35644458,-30454880.599155165,-5003.44906505735,58711687.11958793
130,2018-08-05 04:00:00,-573542322.7550806,-104080449.52846327,-27875749.14028455,-7784.2032406539865,64286661.42457414
131,2018-08-05 04:15:00,-573162856.4019753,-99160165.31311086,-30457122.630660612,-4727.806493614143,64844912.94278096
132,2018-08-05 04:45:00,-604264033.728807,-99277922.94232157,-30393207.443526957,-4583.034280014701,33417206.09697164
133,2018-08-05 05:00:00,-585826575.357554,-104197160.85590641,-27865289.1073197,-5109.592891797927,51917659.87526981
134,2018-08-05 05:15:00,-576202788.4345149,-99207986.45907086,-30432200.81787296,-4475.963120746573,61084755.07865237
135,2018-08-05 05:30:00,-567989184.861651,-99026536.96572526,-30526404.035560466,-4930.321062629272,69008184.02242276
136,2018-08-05 05:45:00,-552479773.7821424,-98967760.75274086,-30558304.46254669,-5114.223345485009,83970015.76313898
137,2018-08-05 06:00:00,-535793607.40237176,-103846087.75441228,-28051237.862984464,-7095.2568080404735,101099044.56227066
138,2018-08-05 06:15:00,-512351923.10364753,-98787261.62900572,-30655459.884502083,-4239.4416645413685,124499084.50786744
139,2018-08-05 06:30:00,-529110153.51578087,-98879338.55047795,-30606290.789017983,19944.11270495478,143182512.75670838
140,2018-08-05 06:45:00,-507601019.5776067,-98806831.81095026,-30642717.818432312,23439.625404136903,168997676.65189004
141,2018-08-05 07:00:00,-425943757.51443505,-103542127.73299481,-28219405.981835604,-5651.837191691662,209753893.4314438
142,2018-08-05 07:15:00,-389639705.8869562,-98154439.7145021,-30994145.85112956,-5779.589997159262,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291115,-97988026.40127234,-31082795.17496872,-6516.085270929895,271534636.335483
144,2018-08-05 07:45:00,-334835990.51910394,-97937363.8316831,-31111695.398968678,-7045.012809489078,295376242.5023397
145,2018-08-05 08:00:00,-397896601.88696545,-102903781.07379669,-28550706.308084834,48361.675739547616,307257311.8720552
